,latitude,longitude,Наименование пункта пропуска,Федеральный округ,Вид,Количество,Год,Категория,Филиал,Установлен / закрыт,Функционирует/не функционирует,Сопредельное государство,Количество по паспорту,Количество (Факт/Паспорт)
108,42.056396,48.306587,Дербент,СКФО,ЖДПП,6465,2018,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Азербайджанская Республика,5840,1.11
109,64.545064,29.994016,Люття,СЗФО,АПП,31955,2018,Грузовые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика,21900,1.46
110,42.669885,44.025982,Нижний Зарамаг,СКФО,АПП,49509,2018,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Республика Южная Осетия,36500,1.36
111,49.643629,89.44195,Ташанта,СФО,АПП,7829,2018,Грузовые транспортные средства,Новосибирский,установлен,да,Монголия,5980,1.31
112,54.645721,22.736633,Чернышевское,СЗФО,АПП,128113,2018,Грузовые транспортные средства,Калининградский,установлен,да,Литовская Республика,109500,1.17
113,41.640607,48.40786,Яраг-Казмаляр,СКФО,АПП,110344,2018,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Азербайджанская Республика,109500,1.01
114,43.397314,40.002072,Адлер,ЮФО,АПП,97161,2019,Грузовые транспортные средства,Сочинский,установлен,да,Республика Абхазия,54750,1.77
115,54.006458,61.625926,Бугристое,УФО,АПП,254429,2019,Грузовые транспортные средства,Уральский,установлен,да,Республика Казахстан,109500,2.32
116,56.356309,28.197336,Бурачки,СЗФО,АПП,138230,2019,Грузовые транспортные средства,Псковский,установлен,да,Латвийская Республика,109500,1.26
117,42.768431,44.631185,Верхний Ларс,СКФО,АПП,227581,2019,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Республика Грузия,62050,3.67
118,62.168784,30.635873,Вяртсиля,СЗФО,АПП,94991,2019,Грузовые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика,43800,2.17
119,42.056396,48.306587,Дербент,СКФО,ЖДПП,8059,2019,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Азербайджанская Республика,5840,1.38
120,64.545064,29.994016,Люття,СЗФО,АПП,36400,2019,Грузовые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика,21900,1.66
121,42.669885,44.025982,Нижний Зарамаг,СКФО,АПП,41802,2019,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Республика Южная Осетия,36500,1.15
122,49.643629,89.44195,Ташанта,СФО,АПП,8089,2019,Грузовые транспортные средства,Новосибирский,установлен,да,Монголия,5980,1.35
123,54.645721,22.736633,Чернышевское,СЗФО,АПП,124743,2019,Грузовые транспортные средства,Калининградский,установлен,да,Литовская Республика,109500,1.14
124,41.640607,48.40786,Яраг-Казмаляр,СКФО,АПП,125499,2019,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Азербайджанская Республика,109500,1.15
125,43.397314,40.002072,Адлер,ЮФО,АПП,79709,2020,Грузовые транспортные средства,Сочинский,установлен,да,Республика Абхазия,54750,1.46
126,54.006458,61.625926,Бугристое,УФО,АПП,288987,2020,Грузовые транспортные средства,Уральский,установлен,да,Республика Казахстан,109500,2.64
127,56.356309,28.197336,Бурачки,СЗФО,АПП,130798,2020,Грузовые транспортные средства,Псковский,установлен,да,Латвийская Республика,109500,1.19
128,42.768431,44.631185,Верхний Ларс,СКФО,АПП,281299,2020,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Республика Грузия,62050,4.53
129,62.168784,30.635873,Вяртсиля,СЗФО,АПП,101772,2020,Грузовые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика,43800,2.32
130,42.056396,48.306587,Дербент,СКФО,ЖДПП,5868,2020,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Азербайджанская Республика,5840,1.0
131,64.545064,29.994016,Люття,СЗФО,АПП,32052,2020,Грузовые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика,21900,1.46
132,49.643629,89.44195,Ташанта,СФО,АПП,7238,2020,Грузовые транспортные средства,Новосибирский,установлен,да,Монголия,5980,1.21
133,54.645721,22.736633,Чернышевское,СЗФО,АПП,135092,2020,Грузовые транспортные средства,Калининградский,установлен,да,Литовская Республика,109500,1.23
134,41.640607,48.40786,Яраг-Казмаляр,СКФО,АПП,153622,2020,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Азербайджанская Республика,109500,1.4
135,43.397314,40.002072,Адлер,ЮФО,АПП,100691,2021,Грузовые транспортные средства,Сочинский,установлен,да,Республика Абхазия,54750,1.84
